SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11333.0,304.0,359.99
11334.0,329.0,339.0
11335.0,304.0,315.0
11336.0,334.0,364.99
11337.0,334.0,364.99
11338.0,156.0,278.0
11340.0,949.0,3500.0
11342.0,349.0,499.0
11343.0,228.0,289.99
11344.0,95.0,115.0
11345.0,626.0,699.99
11346.0,499.97,1099.0
11347.0,158.0,1200.0
11348.0,255.0,325.55
11349.0,239.0,249.0
11350.0,225.0,232.89
11351.0,449.98,475.0
11352.0,320.0,411.0
11353.0,349.95,375.0
11354.0,325.0,390.0
11355.0,390.0,390.0
11356.0,250.0,259.99
11357.0,383.0,385.0
11358.0,499.0,650.0
11359.0,119.0,127.0
11360.0,139.0,140.0
11361.0,79.99,127.0
11362.0,132.0,175.0
11363.0,96.95,129.94
11364.0,120.0,139.0
11365.0,425.0,475.0
11366.0,425.0,475.0
11367.0,350.0,443.0
11368.0,395.0,455.0
11369.0,435.0,450.0
11370.0,509.0,525.0
11371.0,873.0,875.0
11372.0,899.0,1050.0
11373.0,398.0,479.0
11374.0,59.0,65.0
11376.0,295.0,304.0
11377.0,185.0,199.0
11378.0,180.0,215.0
11379.0,119.99,162.0
11380.0,158.0,200.0
11381.0,120.0,125.0
11382.0,210.0,217.0
11383.0,312.0,315.0
11384.0,150.0,218.0
11385.0,540.0,599.0
11386.0,125.0,269.98
11388.0,260.0,297.0
11389.0,316.0,354.0
11390.0,189.0,194.99
11391.0,189.0,194.99
11392.0,199.0,239.0
11393.0,159.0,179.95
11394.0,165.0,169.0
11395.0,285.0,311.0
11397.0,171.0,219.99
11398.0,195761.0,206947.0
11399.0,189.98,190.0
11400.0,215.0,215.0
11401.0,108.95,109.0
11402.0,162.0,175.0
11403.0,209.0,209.0
11404.0,130.0,155.0
11405.0,269.94,275.0
11406.0,225.0,228.0
11407.0,114.98,119.0
11408.0,163.89,245.0
11409.0,219.0,228.0
11410.0,206.0,209.0
11411.0,129.0,129.0
11412.0,135.0,140.0
11413.0,195.0,195.0
11414.0,45.0,69.0
11415.0,234.0,245.0
11416.0,74.95,144.0
11417.0,525.0,525.0
11418.0,585.0,849.0
11419.0,819.0,825.0
11420.0,407.0,425.0
11421.0,300.0,325.0
11422.0,215.0,219.0
11423.0,188.0,221.0
11424.0,177.0,177.0
11425.0,195.0,197.0
11426.0,159.0,219.0
11427.0,375.0,380.0
11428.0,129.94,133.0
11429.0,200.0,210.0
11430.0,239.0,241.0
11431.0,179.0,235.0
11432.0,199.0,245.0
11433.0,278.0,284.0
11434.0,189.0,202.0
11435.0,399.99,506.75
11436.0,621.0,625.0
11437.0,399.98,400.0
11438.0,500.0,1099.0
11439.0,799.0,875.0
11440.0,399.0,895.0
11441.0,695.0,810.0
11442.0,514.99,750.0
11444.0,550.0,750.0
11445.0,550.0,750.0
11446.0,799.0,889.0
11448.0,898.0,1333.33
11449.0,725.0,725.0
11451.0,845.0,846.0
11452.0,835.0,863.0
11453.0,425.0,435.0
11454.0,899.0,899.0
11455.0,895.99,899.0
11456.0,599.0,633.0
11458.0,392.0,899.99
11459.0,75.0,83.0
11460.0,449.0,450.0
11461.0,459.0,495.0
11463.0,557.0,650.0
11464.0,535.0,560.0
11465.0,789.0,795.0
11466.0,724.99,999.0
11467.0,475.0,475.0
11468.0,480.0,495.0
11469.0,549.99,550.0
11470.0,549.0,575.0
11471.0,549.0,869.0
11472.0,300.0,348.0
11473.0,149.94,149.99
11476.0,185.0,190.0
11477.0,152.0,159.98
11478.0,133.0,140.0
11479.0,389.0,400.0
11480.0,459.0,481.0
11481.0,327.97,345.0
11482.0,139.0,144.95
11483.0,139.0,144.95
11484.0,170.0,195.0
11485.0,170.0,195.0
11486.0,300.0,309.0
11487.0,299.0,299.0
11488.0,175.0,175.0
11489.0,179.99,188.0
11491.0,248.99,275.0
11492.0,123.95,198.98
11493.0,319.0,331.99
11494.0,325.0,350.0
11495.0,139.0,170.0
11496.0,185.0,195.0
11497.0,139.97,230.0
11498.0,109.95,134.0
11499.0,160.0,195.0
11500.0,345.0,375.0
11501.0,137.0,175.0
11502.0,139.0,164.0
11503.0,124.95,135.0
11505.0,175.0,179.0
11506.0,135.0,139.0
11507.0,177.0,185.0
11508.0,999.0,1000.0
11509.0,450.0,475.0
11510.0,315.0,493.0
11511.0,390.0,495.0
11512.0,799.99,825.0
11513.0,495.0,499.0
11514.0,485.0,495.0
11515.0,395.0,475.89
11516.0,450.0,500.0
11517.0,848.0,848.0
11518.0,675.0,789.99
11519.0,200.0,280.0
11520.0,325.0,463.65
11522.0,147.0,159.0
11523.0,190.0,195.0
11524.0,209.99,225.0
11525.0,162.0,162.0
11526.0,288.0,288.0
11527.0,234.95,241.0
11528.0,1099.0,1199.0
11529.0,425.0,425.0
11530.0,449.0,545.0
11531.0,419.99,479.0
11532.0,495.0,499.0
11533.0,449.0,450.0
11534.0,525.0,545.0
11535.0,685.0,695.0
11536.0,685.0,695.0
11537.0,575.0,579.0
11539.0,499.0,538.89
11540.0,250.0,259.0
11541.0,340.0,349.0
11542.0,225.0,234.0
11543.0,199.99,248.0
11544.0,139.0,159.0
11545.0,175.0,188.95
11546.0,127.0,160.0
11547.0,205.0,209.0
11548.0,170.0,177.98
11549.0,170.0,177.98
11550.0,206.0,218.0
11551.0,250.0,275.0
11552.0,475.0,479.0
11553.0,244.95,260.0
11554.0,180.0,215.0
11555.0,269.0,324.0
11556.0,390.0,395.0
11557.0,385.0,385.0
11559.0,139.0,145.0
11560.0,1895.0,2176.0
11561.0,6319.0,7528.89
11562.0,2525.0,2530.0
11563.0,2300.0,2395.0
11564.0,3200.0,3400.0
11565.0,133.13,135.0
11566.0,139.0,165.0
11567.0,119.0,132.0
11568.0,99.0,177.0
11570.0,245.0,245.0
11571.0,190.0,190.0
11572.0,73.0,88.0
11573.0,73.0,88.0
11574.0,224.95,228.0
11575.0,142.0,151.0
11576.0,150.0,152.0
11577.0,129.0,162.0
11578.0,120.0,129.0
11579.0,114.95,129.0
11580.0,152.0,155.0
11581.0,74.98,137.0
11582.0,105.0,149.99
11583.0,209.0,209.0
11584.0,129.99,209.0
11585.0,75.0,81.95
11586.0,139.0,145.0
11587.0,129.0,130.0
11588.0,236.0,249.0
11589.0,155.0,155.0
11590.0,139829.0,144304.0
11592.0,158.0,163.0
11593.0,389.0,395.0
11594.0,325.0,329.0
11595.0,99.0,184.94
11596.0,194.94,196.0
11597.0,202.0,219.95
11598.0,169.0,175.0
11599.0,145.0,185.0
11600.0,240.0,247.0
11601.0,182.0,219.65
11603.0,135.0,247.0
11604.0,395.0,449.99
11605.0,430.0,499.99
11606.0,158.0,191.0
11607.0,239.0,329.99
11608.0,333.33,506.0
11609.0,455.0,473.99
11610.0,470.0,475.0
11611.0,152.0,990.0
11612.0,145.0,274.97
11613.0,149.99,166.0
11614.0,109.0,180.0
11615.0,259.99,274.94
11616.0,455.0,459.98
11618.0,299.95,316.0
11619.0,221.0,350.0
11620.0,145.0,152.0
11621.0,215.0,229.0
11622.0,485.0,499.0
11624.0,500.0,525.0
11625.0,750.0,949.0
